,materia,a.conhecimento
1603,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1604,Gestão e Qualidade,Negócios e Administração
1605,Sucessões Empresariais,Direito
1606,Diplomacia e Negociação Internacional,Negócios e Administração
1607,Branding e Comunicação Internacional,"Ciências Sociais, Jornalismo e Informação"
1608,Direito Tributário,Direito
1609,Mercado de Capitais,Negócios e Administração
1610,Orçamento Empresarial e Captação de Recursos,Negócios e Administração
1611,Estratégia Metodologica para o TCC,Negócios e Administração
1612,Tópicos Especiais,Direito
1613,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1614,Estratégias de Cooperação,Educação
1615,Estruturas de Governança,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1616,Alianças Estratégicas Globais,Ciências Naturais
1617,Consultoria e Projetos Empresariais,Direito
1618,TCC I,programas genericos
1619,Estudos Estratégicos: América do Sul e Caribe,Ciências Naturais
1620,"Estudos Estratégicos: Eua, Canadá e México",programas genericos
1621,Estudos Estratégicos: Oriente Médio e África,"Humanidades, Artes e Linguagens"
1622,"Estudos Estratégicos: China, Rússia e Índia","Humanidades, Artes e Linguagens"
1623,Estudos Estratégicos: Europa,"Agricultura, Silvicultura, Pesca e Veterinária"
1624,"Estudos Estratégicos:Japão, TIgres Asiáticos e Austrália",programas genericos
1625,Simulador de Negócios,Negócios e Administração
1626,TCC II,programas genericos
1627,Estágio Supervisionado,programas genericos
1628,Ética e Responsabilidade Empresarial,Negócios e Administração
1629,Introdução à Administração Contemporânea,Negócios e Administração
1630,Criatividade nos Negócios,Saúde e Bem-Estar Social
1631,Sociologia,"Ciências Sociais, Jornalismo e Informação"
1632,Matemática Aplicada na Administração,Negócios e Administração
1633,Marketing I,Negócios e Administração
1634,Finanças Empresariais,Negócios e Administração
1635,Pensamento Filosófico,"Ciências Sociais, Jornalismo e Informação"
1636,Teoria Geral do Direito,Direito
1637,Empreendedorismo,Negócios e Administração
1638,Marketing II,Negócios e Administração
1639,Teoria Geral da Administração,Negócios e Administração
1640,Direito Trabalhista,Direito
1641,Tecnologias e Sistemas de Informação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1642,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
1643,Marketing III,Negócios e Administração
1644,Estatística Fundamental,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1645,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
1646,Antropologia,"Ciências Sociais, Jornalismo e Informação"
1647,Teoria Das Organizações,Negócios e Administração
1648,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
1649,Gestão Contábil,Negócios e Administração
1650,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1651,Formação de Equipes e Liderança,Psicologia e Desenvolvimento Pessoal
1652,Análise de Conjuntura Econômica,"Ciências Sociais, Jornalismo e Informação"
1653,Estratégicas de Custo e Preço,Negócios e Administração
1654,Comportamento do Consumidor,Negócios e Administração
1655,Marketing IV,Negócios e Administração
1656,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
1657,Gestão de Comunicação com o Mercado,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1658,Gestão Estratégica de Pessoas,Negócios e Administração
