,materia,a.conhecimento
1675,Mercado de Capitais,Negócios e Administração
1676,Orçamento Empresarial e Captação de Recursos,Negócios e Administração
1677,Projeto Monográfico,Educação
1678,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1679,Estratégias de Cooperação,Educação
1680,Logística Internacional,Negócios e Administração
1681,Gestão de Projetos,Negócios e Administração
1682,Consultoria Empresarial,Negócios e Administração
1683,Gestão de Vendas e Trade Marketing,Negócios e Administração
1684,TCC I,programas genericos
1685,Simulador de Negócios,Negócios e Administração
1686,TCC II,programas genericos
1687,Estágio Supervisionado,programas genericos
1688,Matemática Aplicada na Administração,Negócios e Administração
1689,Marketing I,Negócios e Administração
1690,Introdução à Administração Contemporânea,Negócios e Administração
1691,Jogos de Empresas,programas genericos
1692,Linguagem,"Humanidades, Artes e Linguagens"
1693,Pensamento Filosófico,"Ciências Sociais, Jornalismo e Informação"
1694,Teoria Geral do Direito,Direito
1695,Empreendedorismo,Negócios e Administração
1696,Marketing II,Negócios e Administração
1697,Teoria Geral da Administração,Negócios e Administração
1698,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
1699,Marketing III,Negócios e Administração
1700,Estatística Fundamental,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1701,Sociologia,"Ciências Sociais, Jornalismo e Informação"
1702,Ética e Responsabilidade Empresarial,Negócios e Administração
1703,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
1704,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1705,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
1706,Direito Trabalhista,Direito
1707,Gestão de Operações,Negócios e Administração
1708,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
1709,Gestão Contábil,Negócios e Administração
1710,Antropologia,"Ciências Sociais, Jornalismo e Informação"
1711,Gestão de Projetos,Negócios e Administração
1712,Estratégicas de Custo e Preço,Negócios e Administração
1713,Formação de Equipes e Liderança,Psicologia e Desenvolvimento Pessoal
1714,Direito Tributário,Direito
1715,Pesquisa Operacional,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1716,Planejamento Estratégico,Negócios e Administração
1717,Gestão Estratégica de Pessoas,Negócios e Administração
1718,Análise de Conjuntura Econômica,"Ciências Sociais, Jornalismo e Informação"
1719,Linguagem de Programação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1720,Gestão de Vendas e Trade Marketing,Negócios e Administração
1721,Projeto Monográfico,Educação
1722,Estruturas de Governança e Sucessão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1723,Gestão da Inovação,Negócios e Administração
1724,Orçamento Empresarial e Captação de Recursos,Negócios e Administração
1725,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1726,TCC II,programas genericos
1727,Sustentabilidade e Cidadania,Ciências Naturais
1728,Estratégia digital E-Business,Negócios e Administração
1729,Fundamentos de Marketing,Negócios e Administração
1730,Cálculo e Modelos Aplicados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1731,"Inovação, Criatividade e Novos Modelos de Negócios",Negócios e Administração
1732,Marketing Estratégico,Negócios e Administração
1733,Teoria Geral da Administração,Negócios e Administração
1734,Análise e Visualização de Dados,"Engenharia, Produção e Construção"
1735,Jogos de Empresas,programas genericos
1736,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
1737,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
1738,Pensamento Contemporâneo I,Negócios e Administração
1739,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1740,Plano de Marketing,Negócios e Administração
1741,Finanças Aplicadas de Mercado,Negócios e Administração
1742,Modelos de Previsão e Decisão em Negócios,Negócios e Administração
1743,Direito Compliance,Direito
1744,Direito Empresarial (Trabalhista e Tributário),Direito
1745,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
1746,Design e Teoria das Organizacões,"Humanidades, Artes e Linguagens"
1747,Gestão Corporativa Financeira,Negócios e Administração
1748,Gestão de Operações,Negócios e Administração
1749,Gestão de Pessoas e Cultura Organizacional,Negócios e Administração
1750,Análise de Conjuntura,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1751,Estratégia Empresarial,Negócios e Administração
1752,Gerenciamento de Projetos,programas genericos
1753,Acompanhamento de Carreira / Estágio Supervisionado,Ciências Naturais
1754,Gestão de Investimentos e Modelagem,Negócios e Administração
1755,Business Technology,Negócios e Administração
1756,Metodologia de Pesquisa (Pré TCC),programas genericos
1757,TCC I,programas genericos
1758,Linguagens de Programação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1759,Direito Aplicado à Administração,Direito
1760,Linguagem,"Humanidades, Artes e Linguagens"
1761,Cibercultura,Educação
1762,Processo Criativo,"Humanidades, Artes e Linguagens"
1763,Mercado Publicitário,Negócios e Administração
1764,"Comunicação, Cultura e Poder",Negócios e Administração
1765,História da Arte,"Humanidades, Artes e Linguagens"
1766,Teorias da Comunicação,"Engenharia, Produção e Construção"
1767,História Contemporânea do Brasil,"Humanidades, Artes e Linguagens"
1768,Arte e Tecnologia,"Engenharia, Produção e Construção"
1769,Desenho Digital,"Humanidades, Artes e Linguagens"
1770,Ética e Legislação,Direito
1771,Promoções e Incentivos,Educação
1772,Introdução à Fotografia,"Humanidades, Artes e Linguagens"
1773,Pontos de Contato,Educação
1774,Planejamento e Atendimento,Saúde e Bem-Estar Social
1775,Produção Audiovisual I,"Humanidades, Artes e Linguagens"
1776,Fotografia Publicitária,Negócios e Administração
1777,Linguagem de Programação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1778,Storytelling e Transmídia,Educação
1779,Produção de Som,"Humanidades, Artes e Linguagens"
1780,Mobilidade e Aplicativos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1781,Gestão de Marcas,Negócios e Administração
1782,Comunicação e Responsabilidade Social,"Humanidades, Artes e Linguagens"
1783,Linguagem Visual,"Humanidades, Artes e Linguagens"
1784,Projeto I - Princípios da Comunicação Visual e da Moda,"Humanidades, Artes e Linguagens"
1785,Desenho Técnico,"Engenharia, Produção e Construção"
1786,Desenho Livre,"Humanidades, Artes e Linguagens"
1787,Desenho Digital Aplicado,"Engenharia, Produção e Construção"
1788,Fotografia,"Humanidades, Artes e Linguagens"
1789,Fundamentos de Ergonomia,"Engenharia, Produção e Construção"
1790,Cor e Composição,"Humanidades, Artes e Linguagens"
1791,"Moda, Arte e Tecnologia","Humanidades, Artes e Linguagens"
1792,Semiótica Aplicada ao Design,"Humanidades, Artes e Linguagens"
1793,Tipografia,Educação
1794,"Moda, Comunicação e Digitalidades","Humanidades, Artes e Linguagens"
1795,Fotografia de Moda,"Humanidades, Artes e Linguagens"
1796,Web Design,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1797,Ética e Legislação do Design,"Humanidades, Artes e Linguagens"
1798,Imagem em Movimento,"Humanidades, Artes e Linguagens"
1799,After Effects,Educação
1800,Produção de Moda,"Humanidades, Artes e Linguagens"
1801,Varejo de Moda e Merchandising,Negócios e Administração
1802,Forecasting e Coolhunting,Educação
1803,Design Multisensorial e Sustentabilidade,"Engenharia, Produção e Construção"
1804,Estratégias Narrativas Audiovisuais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1805,Introdução ao Jornalismo,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1806,História do Jornalismo,"Humanidades, Artes e Linguagens"
1807,Ciência Política,"Humanidades, Artes e Linguagens"
1808,Técnicas de Apuração e Redação Jornalística,programas genericos
1809,Rádio e Mídias Sonoras I,"Ciências Sociais, Jornalismo e Informação"
1810,Ética Jornalística,"Ciências Sociais, Jornalismo e Informação"
1811,Produção em Mídias Digitais,"Engenharia, Produção e Construção"
1812,Produção de Jornalismo de Audiovisual I,"Humanidades, Artes e Linguagens"
1813,Comunicação Corporativa e Assessoria de Imprensa,Negócios e Administração
1814,Fotojornalismo,Educação
1815,Interfaces Gráficas e Digitais,"Humanidades, Artes e Linguagens"
1816,Jornalismo de Dados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1817,Gerenciamento de Crise e Reputação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1818,Jornalismo Especializado,Educação
1819,Comunicação e Resp.Social e Ambiental,"Ciências Sociais, Jornalismo e Informação"
1820,Introdução ao Estudo Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
1821,Sistema do Comércio Exterior Brasileiro,Saúde e Bem-Estar Social
1822,Teorias Políticas,"Engenharia, Produção e Construção"
1823,Inglês I,Educação
1824,Espanhol I,Educação
1825,Direito Internacional Público,Direito
1826,Inglês II,Educação
1827,Espanhol II,Educação
1828,História Das Relações Internacionais Contemporânea,"Humanidades, Artes e Linguagens"
1829,Direito do Comércio Internacional,Direito
1830,Economia Internacional,"Ciências Sociais, Jornalismo e Informação"
1831,Conflito e Segurança Nas Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
1832,Geopolítica,Educação
1833,Filosofia da Ciência,"Humanidades, Artes e Linguagens"
1834,Processo Criativo,"Humanidades, Artes e Linguagens"
1835,Mercado Publicitário,Negócios e Administração
1836,"Comunicação, Cultura e Poder",Negócios e Administração
1837,História da Arte,"Humanidades, Artes e Linguagens"
1838,Teorias da Comunicação,"Engenharia, Produção e Construção"
1839,História Contemporânea do Brasil,"Humanidades, Artes e Linguagens"
1840,Arte e Tecnologia,"Engenharia, Produção e Construção"
1841,Planejamento e Atendimento,Saúde e Bem-Estar Social
1842,Pontos de Contato,Educação
1843,Introdução à Fotografia,"Humanidades, Artes e Linguagens"
1844,Promoções e Incentivos,Educação
1845,Ética e Legislação,Direito
1846,Desenho Digital,"Humanidades, Artes e Linguagens"
1847,Linguagem Visual,"Humanidades, Artes e Linguagens"
1848,Comunicação e Responsabilidade Social,"Humanidades, Artes e Linguagens"
1849,Gestão de Marcas,Negócios e Administração
1850,Mobilidade e Aplicativos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1851,Produção de Som,"Humanidades, Artes e Linguagens"
1852,Storytelling e Transmídia,Educação
1853,Fotografia Publicitária,Negócios e Administração
1854,Produção Audiovisual I,"Humanidades, Artes e Linguagens"
1855,Fundamentos de Ergonomia,"Engenharia, Produção e Construção"
1856,Fotografia,"Humanidades, Artes e Linguagens"
1857,Desenho Digital Aplicado,"Engenharia, Produção e Construção"
1858,Desenho Livre,"Humanidades, Artes e Linguagens"
1859,Desenho Técnico,"Engenharia, Produção e Construção"
1860,Projeto I - Princípios da Comunicação Visual e da Moda,"Humanidades, Artes e Linguagens"
1861,Imagem em Movimento,"Humanidades, Artes e Linguagens"
1862,Ética e Legislação do Design,"Humanidades, Artes e Linguagens"
1863,Web Design,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1864,Fotografia de Moda,"Humanidades, Artes e Linguagens"
1865,"Moda, Comunicação e Digitalidades","Humanidades, Artes e Linguagens"
1866,Tipografia,Educação
1867,Semiótica Aplicada ao Design,"Humanidades, Artes e Linguagens"
1868,"Moda, Arte e Tecnologia","Humanidades, Artes e Linguagens"
1869,Cor e Composição,"Humanidades, Artes e Linguagens"
1870,Rádio e Mídias Sonoras I,"Ciências Sociais, Jornalismo e Informação"
1871,Técnicas de Apuração e Redação Jornalística,programas genericos
1872,Ciência Política,"Humanidades, Artes e Linguagens"
1873,História do Jornalismo,"Humanidades, Artes e Linguagens"
1874,Introdução ao Jornalismo,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1875,Estratégias Narrativas Audiovisuais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1876,Design Multisensorial e Sustentabilidade,"Engenharia, Produção e Construção"
1877,Forecasting e Coolhunting,Educação
1878,Varejo de Moda e Merchandising,Negócios e Administração
1879,Produção de Moda,"Humanidades, Artes e Linguagens"
1880,After Effects,Educação
1881,Comunicação e Resp.Social e Ambiental,"Ciências Sociais, Jornalismo e Informação"
1882,Jornalismo Especializado,Educação
1883,Gerenciamento de Crise e Reputação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1884,Fotojornalismo,Educação
1885,Comunicação Corporativa e Assessoria de Imprensa,Negócios e Administração
1886,Produção em Mídias Digitais,"Engenharia, Produção e Construção"
1887,Ética Jornalística,"Ciências Sociais, Jornalismo e Informação"
1888,Espanhol I,Educação
1889,Inglês I,Educação
1890,Teorias Políticas,"Engenharia, Produção e Construção"
